#Energy           TDOS-UP         TDOS-DOWN
-14.775708        1.714000        1.714000
-14.744708        1.703000        1.703000
-14.713708        1.595000        1.595000
-14.682708        1.565000        1.565000
-14.651708        1.628000        1.628000
-14.620708        1.744000        1.744000
-14.589708        1.846000        1.846000
-14.558708        1.750000        1.750000
-14.527708        1.730000        1.730000
-14.496708        1.709000        1.709000
-14.465708        1.737000        1.737000
-14.434708        1.783000        1.783000
-14.403708        1.809000        1.809000
-14.372708        1.965000        1.965000
-14.341708        2.078000        2.078000
-14.310708        2.284000        2.284000
-14.279708        2.890000        2.890000
-14.248708        2.223000        2.223000
-14.217708        1.932000        1.932000
-14.186708        1.710000        1.710000
-14.155708        1.656000        1.656000
-14.124708        1.571000        1.571000
-14.093708        1.370000        1.370000
-14.062708        1.374000        1.374000
-14.031708        1.319000        1.319000
-14.000708        1.268000        1.268000
-13.969708        1.219000        1.219000
-13.938708        1.155000        1.155000
-13.907708        1.137000        1.137000
-13.876708        1.086000        1.086000
-13.845708        1.051000        1.051000
-13.814708        1.012000        1.012000
-13.783708        0.960200        0.960200
-13.752708        0.934300        0.934300
-13.721708        0.907700        0.907700
-13.690708        0.865700        0.865700
-13.659708        0.832800        0.832800
-13.628708        0.815400        0.815400
-13.597708        0.777400        0.777400
-13.566708        0.739700        0.739700
-13.535708        0.733200        0.733200
-13.504708        0.694200        0.694200
-13.473708        0.656100        0.656100
-13.442708        0.642500        0.642500
-13.411708        0.615800        0.615800
-13.380708        0.589300        0.589300
-13.349708        0.563800        0.563800
-13.318708        0.545700        0.545700
-13.287708        0.522000        0.522000
-13.256708        0.488800        0.488800
-13.225708        0.473200        0.473200
-13.194708        1.374000        1.374000
-13.163708        1.504000        1.504000
-13.132708        1.651000        1.651000
-13.101708        1.525000        1.525000
-13.070708        1.478000        1.478000
-13.039708        1.292000        1.292000
-13.008708        1.565000        1.566000
-12.977708        1.467000        1.467000
-12.946708        1.439000        1.439000
-12.915708        1.519000        1.519000
-12.884708        1.467000        1.467000
-12.853708        1.520000        1.520000
-12.822708        1.461000        1.461000
-12.791708        1.486000        1.486000
-12.760708        1.505000        1.505000
-12.729708        1.503000        1.503000
-12.698708        1.471000        1.471000
-12.667708        1.492000        1.492000
-12.636708        1.479000        1.479000
-12.605708        1.474000        1.474000
-12.574708        1.521000        1.521000
-12.543708        1.601000        1.601000
-12.512708        1.686000        1.686000
-12.481708        1.765000        1.765000
-12.450708        1.899000        1.899000
-12.419708        1.956000        1.956000
-12.388708        2.249000        2.249000
-12.357708        3.350000        3.349000
-12.326708        2.286000        2.286000
-12.295708        2.102000        2.102000
-12.264708        1.991000        1.991000
-12.233708        1.948000        1.948000
-12.202708        1.860000        1.860000
-12.171708        1.826000        1.826000
-12.140708        1.795000        1.795000
-12.109708        1.776000        1.776000
-12.078708        1.747000        1.747000
-12.047708        1.722000        1.722000
-12.016708        1.696000        1.696000
-11.985708        1.682000        1.682000
-11.954708        1.624000        1.624000
-11.923708        1.658000        1.658000
-11.892708        1.628000        1.628000
-11.861708        1.577000        1.577000
-11.830708        1.593000        1.593000
-11.799708        1.574000        1.574000
-11.768708        1.559000        1.559000
-11.737708        1.565000        1.565000
-11.706708        1.515000        1.515000
-11.675708        1.513000        1.513000
-11.644708        1.481000        1.481000
-11.613708        1.492000        1.492000
-11.582708        1.486000        1.486000
-11.551708        1.434000        1.434000
-11.520708        1.528000        1.528000
-11.489708        1.642000        1.641000
-11.458708        2.079000        2.079000
-11.427708        0.950100        0.950200
-11.396708        0.528700        0.528700
-11.365708        0.777500        0.777400
-11.334708        1.946000        1.946000
-11.303708        1.765000        1.765000
-11.272708        1.432000        1.432000
