#T = 300.000, kB_T = 0.026
#Phi  QC
-5.0  2.1788315774773843e-36
-4.898989898989899  2.9571681372799648e-36
-4.797979797979798  2.35728154878392e-36
-4.696969696969697  1.922651540183231e-36
-4.595959595959596  1.6945317689476954e-36
-4.494949494949495  1.6510234515609903e-36
-4.393939393939394  1.7464070291128198e-36
-4.292929292929293  2.0493629022198344e-36
-4.191919191919192  2.4159215669381635e-36
-4.090909090909091  2.6399391811514118e-36
-3.9898989898989896  2.570740927082682e-36
-3.888888888888889  2.4541269674246843e-36
-3.787878787878788  2.3359672332024312e-36
-3.686868686868687  2.1922626578357447e-36
-3.5858585858585856  1.7407067987348552e-36
-3.484848484848485  1.262032911154114e-36
-3.383838383838384  1.2398652401600246e-36
-3.282828282828283  1.328414853701431e-36
-3.1818181818181817  1.5621247555880047e-36
-3.080808080808081  1.8547322714958803e-36
-2.9797979797979797  2.1183355076806577e-36
-2.878787878787879  2.299099436478808e-36
-2.7777777777777777  2.1521482930391296e-36
-2.676767676767677  2.0120477647229483e-36
-2.5757575757575757  1.8498521095491706e-36
-2.474747474747475  1.4573186910477291e-36
-2.3737373737373737  1.5670766064920482e-36
-2.272727272727273  1.7001592027827695e-36
-2.1717171717171717  1.160062694273063e-36
-2.070707070707071  9.346798049808472e-37
-1.9696969696969697  1.0427577698699146e-36
-1.868686868686869  9.59609718901827e-37
-1.7676767676767677  6.9948608346274675e-37
-1.6666666666666665  5.980509184364691e-37
-1.5656565656565657  5.707553219483589e-37
-1.4646464646464645  3.844092322039545e-37
-1.3636363636363638  2.5223223293814823e-37
-1.2626262626262625  2.51088272353029e-37
-1.1616161616161618  2.7623942538628663e-37
-1.0606060606060606  4.809178391844539e-37
-0.9595959595959593  6.509924917991752e-37
-0.858585858585859  7.649978971404388e-37
-0.7575757575757578  6.39833237656686e-37
-0.6565656565656566  3.760494319838794e-37
-0.5555555555555554  2.6848286462208935e-37
-0.45454545454545503  4.1454689998112374e-38
-0.3535353535353538  2.4579980980472374e-37
-0.2525252525252526  6.208655608928757e-37
-0.15151515151515138  2.7029350002019827e-36
-0.050505050505050164  1.2277382845967363e-36
0.050505050505050164  5.798156684920369e-38
0.15151515151515138  1.4242145513207847e-39
0.2525252525252526  1.0904750007125815e-38
0.3535353535353538  4.195205921741364e-37
0.45454545454545414  1.0967591059500165e-36
0.5555555555555554  6.45715332954958e-37
0.6565656565656566  1.692506944433283e-36
0.7575757575757578  8.715068995335508e-37
0.8585858585858581  6.412595197133348e-37
0.9595959595959593  8.40384952597785e-37
1.0606060606060606  5.653352544651133e-37
1.1616161616161618  2.2036851191848975e-37
1.262626262626262  2.064846704128145e-37
1.3636363636363633  2.062413687694438e-37
1.4646464646464645  2.0714021467376263e-37
1.5656565656565657  2.517826742259481e-37
1.666666666666667  6.409485650607461e-37
1.7676767676767673  7.422910771573996e-37
1.8686868686868685  5.101833105582473e-37
1.9696969696969697  1.002649019022118e-36
2.070707070707071  9.504463180248059e-37
2.1717171717171713  6.196537444668464e-37
2.2727272727272725  1.0366905744240733e-36
2.3737373737373737  1.273763661268949e-36
2.474747474747475  1.4236259523631766e-36
2.5757575757575752  1.144811535673255e-36
2.6767676767676765  1.2342270212823946e-36
2.7777777777777777  1.3730380315775255e-36
2.878787878787879  1.6744152660972292e-36
2.9797979797979792  1.781925383096823e-36
3.0808080808080813  1.638757479508278e-36
3.1818181818181817  8.759268884847162e-37
3.282828282828282  9.370182129281856e-37
3.383838383838384  1.3631617982903177e-36
3.4848484848484844  1.718066837677138e-36
3.5858585858585865  1.8604114464853668e-36
3.686868686868687  1.8806959083037822e-36
3.787878787878787  2.1023583720596805e-36
3.8888888888888893  2.0214307798710924e-36
3.9898989898989896  2.0414441272705947e-36
4.09090909090909  2.357395635166375e-36
4.191919191919192  2.3508603793917115e-36
4.292929292929292  2.048912885854342e-36
4.3939393939393945  2.1816489340036756e-36
4.494949494949495  2.718272432252234e-36
4.595959595959595  2.7854156130810422e-36
4.696969696969697  2.6901486964378733e-36
4.797979797979798  2.2813496786618283e-36
4.8989898989899  2.561794329273624e-36
5.0  2.8652742167438033e-36
