      #Energy        TDOS-UP        TDOS-DOWN
     -12.02086       5.67400      -6.85000
     -11.96686       6.40100      -5.76800
     -11.91286       7.46700      -6.12600
     -11.85886       6.98000      -6.71500
     -11.80486       5.16800      -6.52900
     -11.75186       4.42400      -5.46400
     -11.69786       5.86200      -5.16300
     -11.64386       7.88300      -6.47600
     -11.58986       8.34100      -7.70700
     -11.53586       7.43000      -7.39600
     -11.48286       6.37200      -6.59400
     -11.42886       5.59700      -6.23000
     -11.37486       5.02700      -5.70400
     -11.32086       4.24400      -4.76300
     -11.26686       3.05100      -4.00600
     -11.21286       2.46900      -3.44000
     -11.15986       3.65500      -2.91600
     -11.10586       5.51000      -3.40400
     -11.05186       6.19300      -5.02900
     -10.99786       6.63800      -6.46500
     -10.94386       8.02200      -7.55900
     -10.89086       8.61900      -8.56200
     -10.83686       8.09600      -8.28200
     -10.78286       8.65900      -7.27000
     -10.72886       9.87300      -7.73000
     -10.67486       9.72000      -9.16900
     -10.62186       8.97100      -9.71100
     -10.56786       9.24800      -9.48000
     -10.51386       9.47400      -9.69500
     -10.45986       8.00800      -9.94300
     -10.40586       6.22300      -8.57200
     -10.35286       6.00200      -6.50500
     -10.29886       6.49700      -6.00400
     -10.24486       6.05200      -6.42100
     -10.19086       4.39400      -5.98600
     -10.13686       2.55600      -4.50500
     -10.08386       2.08700      -2.82000
     -10.02986       3.63000      -2.35600
      -9.97586       6.44000      -4.07500
      -9.92186       8.98400      -7.21800
      -9.86786       9.50900      -9.72800
      -9.81486       7.92500      -9.86800
      -9.76086       6.29000      -7.97100
      -9.70686       6.21200      -6.25000
      -9.65286       7.43600      -6.31400
      -9.59886       8.37100      -7.29800
      -9.54586       8.48700      -7.83300
      -9.49186       8.54200      -8.22700
      -9.43786       7.77200      -8.21700
      -9.38386       5.80000      -6.71800
      -9.32986       4.81400      -4.53900
      -9.27686       6.13800      -3.81100
      -9.22286       9.30100      -5.61000
      -9.16886      13.31000      -9.39500
      -9.11486      16.70000     -13.90000
      -9.06086      17.66000     -17.62000
      -9.00786      14.96000     -18.56000
      -8.95386      10.23000     -15.54000
      -8.89986       6.92700     -10.51000
      -8.84586       6.32800      -7.18100
      -8.79186       6.61500      -6.52400
      -8.73886       6.59200      -6.49000
      -8.68486       6.63900      -6.34400
      -8.63086       6.43400      -6.57600
      -8.57686       6.44300      -6.53600
      -8.52286       7.83200      -6.58900
      -8.46986       9.55700      -8.09500
      -8.41586      10.32000     -10.15000
      -8.36186      10.21000     -10.97000
      -8.30786       8.50500     -10.09000
      -8.25386       5.85600      -7.37200
      -8.20086       4.94800      -4.36000
      -8.14686       6.13800      -3.59500
      -8.09286       7.41900      -5.17100
      -8.03886       8.00200      -7.08400
      -7.98486       8.48600      -8.14600
      -7.93186       8.32900      -8.94100
      -7.87786       6.98100      -9.11900
      -7.82386       5.85300      -7.56300
      -7.76986       6.50300      -5.45000
      -7.71586       8.24100      -5.18900
      -7.66286      10.17000      -7.31900
      -7.60886      13.66000     -10.69000
      -7.55486      18.29000     -14.82000
      -7.50086      20.64000     -18.92000
      -7.44686      19.56000     -20.54000
      -7.39386      17.69000     -19.39000
      -7.33986      16.92000     -18.24000
      -7.28586      16.21000     -18.05000
      -7.23186      15.41000     -17.35000
      -7.17786      15.67000     -16.00000
      -7.12486      16.16000     -15.50000
      -7.07086      15.40000     -15.31000
      -7.01686      14.07000     -14.05000
      -6.96286      12.89000     -13.01000
      -6.90886      12.75000     -12.66000
      -6.85486      15.08000     -12.93000
      -6.80186      17.91000     -15.48000
      -6.74786      18.91000     -18.80000
      -6.69386      19.79000     -19.86000
      -6.63986      21.26000     -20.11000
      -6.58586      22.01000     -21.24000
      -6.53286      21.44000     -22.20000
      -6.47886      18.95000     -21.71000
      -6.42486      16.41000     -18.92000
      -6.37086      16.17000     -15.68000
      -6.31686      17.24000     -14.74000
      -6.26386      18.67000     -15.99000
      -6.20986      21.04000     -18.13000
      -6.15586      23.72000     -20.28000
      -6.10186      25.32000     -22.07000
      -6.04786      25.06000     -24.01000
      -5.99486      23.05000     -25.24000
      -5.94086      21.12000     -23.92000
      -5.88686      19.83000     -21.29000
      -5.83286      17.64000     -19.55000
      -5.77886      14.78000     -17.99000
      -5.72586      12.60000     -15.27000
      -5.67186      10.87000     -12.12000
      -5.61786       9.85700      -9.71100
      -5.56386      10.91000      -8.64600
      -5.50986      13.59000     -10.22000
      -5.45686      15.01000     -14.19000
      -5.40286      13.03000     -16.78000
      -5.34886       9.40200     -15.17000
      -5.29486       6.63500     -11.05000
      -5.24086       5.76400      -7.65300
      -5.18786       7.24500      -6.34100
      -5.13386      10.26000      -7.23500
      -5.07986      12.32000      -9.97000
      -5.02586      12.37000     -12.79000
      -4.97186      13.86000     -14.00000
      -4.91886      19.00000     -15.21000
      -4.86486      22.44000     -17.26000
      -4.81086      19.12000     -18.14000
      -4.75686      12.92000     -17.43000
      -4.70286      10.15000     -15.33000
      -4.64986      11.75000     -12.31000
      -4.59586      14.40000     -10.85000
      -4.54186      14.73000     -11.29000
      -4.48786      13.10000     -11.54000
      -4.43386      11.42000     -11.31000
      -4.38086       9.65100     -11.16000
      -4.32686       8.39900     -10.88000
      -4.27286       9.53500     -10.32000
      -4.21886      12.61000     -10.43000
      -4.16486      14.83000     -12.30000
      -4.11186      14.24000     -14.78000
      -4.05786      11.72000     -15.11000
      -4.00386       9.70000     -13.15000
      -3.94986      10.28000     -10.84000
      -3.89586      12.86000      -9.76800
      -3.84286      13.98000     -11.28000
      -3.78886      12.95000     -14.28000
      -3.73486      11.93000     -14.74000
      -3.68086      11.31000     -11.18000
      -3.62686      10.63000      -7.83300
      -3.57386      10.08000      -8.29700
      -3.51986       9.03300     -10.65000
      -3.46586       7.78400     -11.36000
      -3.41186       8.98900      -9.61300
      -3.35786      12.19000      -7.62500
      -3.30486      12.43000      -7.35100
      -3.25086       8.28800      -8.48200
      -3.19686       4.13100      -9.81900
      -3.14286       3.63900      -9.51900
      -3.08886       6.54800      -7.21000
      -3.03586       9.61500      -5.21900
      -2.98186       9.65800      -4.89100
      -2.92786       7.46500      -5.82100
      -2.87386       6.40200      -6.80600
      -2.81986       7.85800      -7.40300
      -2.76686      11.01000      -9.07100
      -2.71286      13.85000     -11.49000
      -2.65886      14.60000     -12.82000
      -2.60486      13.81000     -13.11000
      -2.55086      13.45000     -13.37000
      -2.49686      15.14000     -14.34000
      -2.44386      16.84000     -15.87000
      -2.38986      14.73000     -16.62000
      -2.33586       9.58700     -15.65000
      -2.28186       4.83000     -12.96000
      -2.22786       2.14300      -8.87200
      -2.17486       1.95000      -4.71600
      -2.12086       3.81600      -1.92200
      -2.06686       5.46100      -0.59550
      -2.01286       4.58700      -0.22940
      -1.95886       2.22300      -0.59950
      -1.90586       0.62190      -1.90700
      -1.85186       0.12110      -3.85200
      -1.79786       0.20290      -4.95600
      -1.74386       1.02700      -4.12500
      -1.68986       3.28000      -2.30600
      -1.63686       6.59700      -1.47700
      -1.58286       8.87500      -2.86100
      -1.52886       8.43600      -5.97900
      -1.47486       5.85600      -8.38200
      -1.42086       3.53100      -8.19100
      -1.36786       2.94400      -6.30100
      -1.31386       2.84400      -4.53700
      -1.25986       1.90500      -3.69500
      -1.20586       0.75730      -3.05600
      -1.15186       0.17400      -1.85600
      -1.09886       0.02296      -0.69570
      -1.04486       0.00174      -0.15270
      -0.99086       0.00021      -0.01933
      -0.93686       0.00303      -0.00140
      -0.88286       0.03807      -0.00006
      -0.82986       0.28050      -0.00003
      -0.77586       1.22500      -0.00079
      -0.72186       3.22400      -0.01229
      -0.66786       5.26700      -0.11040
      -0.61386       5.76200      -0.58080
      -0.56086       4.98800      -1.83700
      -0.50686       4.23200      -3.63700
      -0.45286       4.49200      -4.72500
      -0.39886       7.01300      -4.14300
      -0.34486      11.00000      -2.41500
      -0.29186      13.61000      -0.89470
      -0.23786      13.45000      -0.20160
      -0.18386      10.35000      -0.02681
      -0.12986       5.59200      -0.00208
      -0.07586       1.94100      -0.00041
      -0.02286       0.41160      -0.00631
       0.03114       0.05201      -0.07231
       0.08514       0.00517      -0.48330
       0.13914       0.01864      -1.90600
       0.19314       0.14800      -4.55600
       0.24614       0.68480      -7.03000
       0.30014       1.86300      -8.23300
       0.35414       3.14600      -9.61100
       0.40814       3.75200     -12.21000
       0.46214       3.70300     -13.87000
       0.51514       2.96600     -12.32000
       0.56914       1.63800      -8.60800
       0.62314       0.61240      -5.43600
       0.67714       0.45100      -3.88700
       0.73114       1.12800      -2.81400
       0.78414       2.18900      -1.67600
       0.83814       2.60500      -1.38100
       0.89214       1.88800      -2.10300
       0.94614       0.82880      -2.63600
       1.00014       0.21870      -2.07000
       1.05314       0.03641      -0.98530
       1.10714       0.03247      -0.28160
       1.16114       0.23090      -0.04844
       1.21514       1.07300      -0.01582
       1.26914       2.99000      -0.11400
       1.32214       5.13700      -0.67800
       1.37614       5.97300      -2.35600
       1.43014       6.12700      -4.86800
       1.48414       7.20400      -6.37100
       1.53814       8.57900      -6.28500
       1.59114       9.20300      -6.06900
       1.64514       8.69700      -6.06500
       1.69914       6.58800      -5.69500
       1.75314       3.97600      -5.25500
       1.80714       2.29700      -5.70500
       1.86014       1.63000      -7.04800
       1.91414       2.19600      -7.39600
       1.96814       4.06100      -6.21400
       2.02214       6.31800      -5.31300
       2.07614       8.73900      -5.10900
       2.13014      11.07000      -5.31900
       2.18314      11.72000      -6.44800
       2.23714      10.94000      -7.82000
       2.29114      10.35000      -8.58800
       2.34514       9.71200      -9.55600
       2.39914       8.68500     -10.85000
       2.45214       8.57800     -10.66000
       2.50614       9.09800      -9.16600
       2.56014       8.15000      -9.27700
       2.61414       5.65600     -10.65000
       2.66814       3.30100      -9.74400
       2.72114       2.11200      -6.41900
       2.77514       2.63200      -3.34100
       2.82914       4.98900      -1.57500
       2.88314       7.63000      -1.08300
       2.93714       8.85000      -2.23700
       2.99014       9.36400      -4.90400
       3.04414      10.04000      -7.49200
       3.09814       9.82500      -8.93300
       3.15214       8.30900     -10.27000
       3.20614       6.44600     -11.67000
       3.25914       5.32200     -11.45000
       3.31314       5.76400      -9.49700
       3.36714       7.58900      -7.51300
       3.42114       9.08500      -7.16300
       3.47514       8.82800      -8.86000
       3.52814       8.07400     -10.60000
       3.58214       8.29600     -10.51000
       3.63614       8.62800      -9.21700
       3.69014       8.36700      -7.99700
       3.74414       8.97300      -7.71400
       3.79714      11.24000      -8.69400
       3.85114      12.31000     -10.51000
       3.90514       9.87100     -11.61000
       3.95914       6.75400     -10.72000
       4.01314       6.54500      -9.08200
       4.06614       9.22400      -8.56800
       4.12014      13.07000      -9.41100
       4.17414      16.25000     -11.03000
       4.22814      17.05000     -12.27000
       4.28214      15.24000     -13.17000
       4.33514      12.04000     -14.85000
       4.38914       9.34500     -15.49000
       4.44314       9.11300     -13.75000
       4.49714      12.70000     -12.67000
       4.55114      17.48000     -13.82000
       4.60414      17.56000     -14.16000
       4.65814      13.07000     -12.55000
       4.71214      10.44000     -12.02000
       4.76614      11.37000     -13.44000
       4.82014      12.38000     -14.68000
       4.87314      12.51000     -14.95000
       4.92714      12.92000     -14.23000
       4.98114      13.47000     -12.00000
       5.03514      13.71000     -10.30000
       5.08914      14.51000     -12.52000
       5.14214      16.23000     -17.76000
       5.19614      16.82000     -20.40000
       5.25014      15.15000     -17.53000
       5.30414      13.77000     -13.57000
       5.35814      14.13000     -12.64000
       5.41114      13.99000     -12.99000
       5.46514      12.60000     -12.15000
       5.51914      12.37000     -11.23000
       5.57314      14.29000     -12.70000
       5.62714      16.70000     -16.02000
       5.68014      18.79000     -17.85000
       5.73414      20.30000     -17.65000
       5.78814      19.81000     -17.75000
       5.84214      17.78000     -18.20000
       5.89614      16.60000     -17.89000
       5.94914      17.24000     -18.32000
       6.00314      18.93000     -20.54000
       6.05714      18.90000     -21.84000
       6.11114      15.14000     -18.71000
       6.16514      10.41000     -12.36000
       6.21814       8.86400      -8.64500
       6.27214      11.27000     -11.03000
       6.32614      14.83000     -15.85000
       6.38014      15.50000     -17.09000
       6.43414      13.09000     -14.05000
       6.48814      11.79000     -10.68000
